,LabelValue,MeanVolume,MeanMass
0,1002.0,607.3214285714286,10.286362432847021
1,1003.0,2224.285714285714,57.05276198281596
2,1005.0,1380.0,25.586834239640407
3,1006.0,1903.452380952381,30.759457715279062
4,1007.0,6333.869047619048,168.85733771395488
5,1008.0,8621.607142857143,304.8456381206107
6,1009.0,8892.32142857143,275.1849380670044
7,1010.0,1103.0357142857142,19.773335554681363
8,1011.0,14849.52380952381,438.54864559824733
9,1012.0,4633.928571428572,125.694001488926
10,1013.0,5010.297619047619,116.06946323131972
11,1014.0,2431.7261904761904,54.06256561292269
12,1015.0,6075.059523809524,238.5760540827233
13,1016.0,2446.904761904762,34.32572060625673
14,1017.0,1405.7142857142858,23.06814614901114
15,1018.0,1039.047619047619,22.493444014229766
16,1019.0,1283.2738095238096,33.04121735805668
17,1020.0,1941.0714285714287,56.46909171604507
18,1021.0,343.6309523809524,4.959853273594663
19,1022.0,3269.0476190476193,61.98250937066595
20,1023.0,659.5238095238095,9.730591004262568
21,1024.0,3192.1428571428573,69.78871236192728
22,1025.0,2968.154761904762,57.52800743809036
23,1026.0,658.1547619047619,12.118073072700229
24,1027.0,6458.690476190476,232.2734334830616
25,1028.0,12184.761904761905,378.13375865046066
26,1029.0,5861.785714285715,143.59133092187216
27,1030.0,5439.642857142857,153.28212271096362
28,1031.0,4867.619047619048,145.5383648854636
29,1034.0,305.0595238095238,4.644154099459272
30,1035.0,1270.4166666666667,21.53525292661063
31,2002.0,788.8690476190476,13.562550301968475
32,2003.0,1870.7738095238096,50.393393519522974
33,2005.0,1732.797619047619,32.547113311349506
34,2006.0,1907.3809523809523,34.956398250909324
35,2007.0,6849.226190476191,165.10854807736948
36,2008.0,6966.309523809524,237.88099324005321
37,2009.0,9678.511904761905,344.8658402868973
38,2010.0,1779.702380952381,28.234581964935863
39,2011.0,14070.238095238095,390.6302137074637
40,2012.0,4991.785714285715,154.54232289790593
41,2013.0,5861.25,126.48833709568606
42,2014.0,1826.25,41.98472857012391
43,2015.0,4966.9047619047615,182.76124163603941
44,2016.0,2304.1071428571427,32.82751351081866
45,2017.0,1835.0,29.20018513261762
46,2018.0,1504.4642857142858,39.826448402312096
47,2019.0,1339.2261904761904,45.90315176870042
48,2020.0,2221.964285714286,71.1984930902919
49,2021.0,382.5,5.383465443610302
50,2022.0,2890.535714285714,51.719947017773634
51,2023.0,626.6071428571429,9.513115871958213
52,2024.0,4051.309523809524,85.4005843470444
53,2025.0,3164.2261904761904,62.767646517025284
54,2026.0,592.7380952380952,11.32144613897184
55,2027.0,8432.202380952382,302.11172488816305
56,2028.0,15767.380952380952,491.7885516820631
57,2029.0,5700.178571428572,139.8766279153559
58,2030.0,6669.285714285715,204.92109221042344
59,2031.0,3904.5833333333335,108.98100128934519
60,2034.0,258.39285714285717,3.647260750832391
61,2035.0,1146.3690476190477,19.79663112940588
